method,model,L,codec_setting,sample_id,wer_vs_gt,cer_vs_gt,wer_vs_original_whisper,cer_vs_original_whisper,hypothesis_text,decoded_path,transcript_path
encodec,encodec_24khz,16,bw12.0kbps_n_cb16,8838-298545-0037,0.0,0.0,0.0,0.0,"You remember the man whom you knocked out this morning? He is Barton, the famous Ted Barton. ""'I'm sure, sir, you may well be proud to have outed him in one round,' said the publican. Why, it took Morris, the ten stone six champion—'",output\experiments\exp4_baseline_comparison_20260531_seed42\samples\encodec\bw12.0kbps\8838-298545-0037.wav,output\experiments\exp4_baseline_comparison_20260531_seed42\artifacts\asr_transcripts\encodec\bw12.0kbps_n_cb16\8838-298545-0037.txt
dac,dac_16khz,1,n_q_1,8838-298545-0037,0.9090909090909091,0.5642201834862385,0.9090909090909091,0.5642201834862385,"Do you remember the man who did not feel the same thing? He has water, the thing was to add to the weapon. I'm sure a semi-divet army driver will have it in the blood world. Say the public. Why? It took my eyes to turn down sticks to the bill.",output\experiments\exp4_baseline_comparison_20260531_seed42\samples\dac\n_q1\8838-298545-0037.wav,output\experiments\exp4_baseline_comparison_20260531_seed42\artifacts\asr_transcripts\dac\n_q_1\8838-298545-0037.txt
dac,dac_16khz,2,n_q_2,8838-298545-0037,0.4318181818181818,0.24770642201834864,0.4318181818181818,0.24770642201834864,"You remember the man when you knocked out this wine? He has bought it, the famous tadplartan. I'm sure sir you may well be plucking up out of everyone round, say the publican. Why, it took me worse, the Tim Star Six champion. . . . . . . . . .",output\experiments\exp4_baseline_comparison_20260531_seed42\samples\dac\n_q2\8838-298545-0037.wav,output\experiments\exp4_baseline_comparison_20260531_seed42\artifacts\asr_transcripts\dac\n_q_2\8838-298545-0037.txt
dac,dac_16khz,3,n_q_3,8838-298545-0037,0.25,0.1559633027522936,0.25,0.1559633027522936,"You remember the man when you knocked out this morning? He is Barton, the famous Ted Barton. I'm sure so you may well be pregnant out of him in one round, so the publican. Why, it did Morris, the 10th Star 6th champion.",output\experiments\exp4_baseline_comparison_20260531_seed42\samples\dac\n_q3\8838-298545-0037.wav,output\experiments\exp4_baseline_comparison_20260531_seed42\artifacts\asr_transcripts\dac\n_q_3\8838-298545-0037.txt
dac,dac_16khz,4,n_q_4,8838-298545-0037,0.20454545454545456,0.12844036697247707,0.20454545454545456,0.12844036697247707,"You remember the man whom you knocked out this morning? He is Barton, the famous Ted Barton. I'm sure, sir, you may well be pregnant about it in one round, so the publican. Why, you did Morris, the 10th Stone Six champion.",output\experiments\exp4_baseline_comparison_20260531_seed42\samples\dac\n_q4\8838-298545-0037.wav,output\experiments\exp4_baseline_comparison_20260531_seed42\artifacts\asr_transcripts\dac\n_q_4\8838-298545-0037.txt
dac,dac_16khz,6,n_q_6,8838-298545-0037,0.13636363636363635,0.05504587155963303,0.13636363636363635,0.05504587155963303,"You remember the man whom you knocked out this morning? He is Barton, the famous Ted Barton. I am sure, sir, you may well be proud to have out at him in one round,"" said the publican. Why, you took Morris, the ten stone six champion— You",output\experiments\exp4_baseline_comparison_20260531_seed42\samples\dac\n_q6\8838-298545-0037.wav,output\experiments\exp4_baseline_comparison_20260531_seed42\artifacts\asr_transcripts\dac\n_q_6\8838-298545-0037.txt
dac,dac_16khz,9,n_q_9,8838-298545-0037,0.11363636363636363,0.04128440366972477,0.11363636363636363,0.04128440366972477,"You remember the man whom you knocked out this morning? He is Barton, the famous Ted Barton. I am sure, sir, you may well be proud to have out at him in one round,"" said the publican. Why, it took Morris, the ten stone six champion— You",output\experiments\exp4_baseline_comparison_20260531_seed42\samples\dac\n_q9\8838-298545-0037.wav,output\experiments\exp4_baseline_comparison_20260531_seed42\artifacts\asr_transcripts\dac\n_q_9\8838-298545-0037.txt
dac,dac_16khz,12,n_q_12,8838-298545-0037,0.022727272727272728,0.01834862385321101,0.022727272727272728,0.01834862385321101,"You remember the man whom you knocked out this morning? He is Barton, the famous Ted Barton. ""'I'm sure, sir, you may well be proud to have outed him in one round,' said the publican. Why, it took Morris, the ten stone six champion—' You",output\experiments\exp4_baseline_comparison_20260531_seed42\samples\dac\n_q12\8838-298545-0037.wav,output\experiments\exp4_baseline_comparison_20260531_seed42\artifacts\asr_transcripts\dac\n_q_12\8838-298545-0037.txt
scit_base,scit_base,1,L=1,5390-30102-0015,0.08333333333333333,0.06091370558375635,0.08333333333333333,0.06091370558375635,"What had rendered Iris so unhappy and despairing? Thirdly, the Clapton's only friend had been a crazy man named Will Townsend. Was he crazy before the Captain's death, or had he become crazed at that time?",output\experiments\exp4_baseline_comparison_20260531_seed42\samples\scit_base\L1\5390-30102-0015.wav,output\experiments\exp4_baseline_comparison_20260531_seed42\artifacts\asr_transcripts\scit_base\L=1\5390-30102-0015.txt
scit_base,scit_base,2,L=2,5390-30102-0015,0.027777777777777776,0.015228426395939087,0.027777777777777776,0.015228426395939087,"What had rendered her so unhappy and despairing. Thirdly, the captain's only friend had been a crazy man named Will Tonson. Was he crazy before the captain's death, or had he become crazed at that time?",output\experiments\exp4_baseline_comparison_20260531_seed42\samples\scit_base\L2\5390-30102-0015.wav,output\experiments\exp4_baseline_comparison_20260531_seed42\artifacts\asr_transcripts\scit_base\L=2\5390-30102-0015.txt
scit_base,scit_base,3,L=3,5390-30102-0015,0.027777777777777776,0.015228426395939087,0.027777777777777776,0.015228426395939087,"What had rendered her so unhappy and despairing. Thirdly, the captain's only friend had been a crazy man named Will Tonson. Was he crazy before the captain's death, or had he become crazed at that time?",output\experiments\exp4_baseline_comparison_20260531_seed42\samples\scit_base\L3\5390-30102-0015.wav,output\experiments\exp4_baseline_comparison_20260531_seed42\artifacts\asr_transcripts\scit_base\L=3\5390-30102-0015.txt
scit_lca,scit_lca,1,L=1,5390-30102-0015,0.027777777777777776,0.030456852791878174,0.027777777777777776,0.030456852791878174,"What had rendered her so unhappy and despairing? Fridman, the captain's only friend had been a crazy man named Will Thompson. Was he crazy before the captain's death, or had he become crazed at that time?",output\experiments\exp4_baseline_comparison_20260531_seed42\samples\scit_lca\L1\5390-30102-0015.wav,output\experiments\exp4_baseline_comparison_20260531_seed42\artifacts\asr_transcripts\scit_lca\L=1\5390-30102-0015.txt
scit_lca,scit_lca,2,L=2,5390-30102-0015,0.0,0.0,0.0,0.0,"What had rendered her so unhappy and despairing. Thirdly, the captain's only friend had been a crazy man named Will Thompson. Was he crazy before the captain's death, or had he become crazed at that time?",output\experiments\exp4_baseline_comparison_20260531_seed42\samples\scit_lca\L2\5390-30102-0015.wav,output\experiments\exp4_baseline_comparison_20260531_seed42\artifacts\asr_transcripts\scit_lca\L=2\5390-30102-0015.txt
scit_lca,scit_lca,3,L=3,5390-30102-0015,0.0,0.0,0.0,0.0,"What had rendered her so unhappy and despairing. Thirdly, the captain's only friend had been a crazy man named Will Thompson. Was he crazy before the captain's death, or had he become crazed at that time?",output\experiments\exp4_baseline_comparison_20260531_seed42\samples\scit_lca\L3\5390-30102-0015.wav,output\experiments\exp4_baseline_comparison_20260531_seed42\artifacts\asr_transcripts\scit_lca\L=3\5390-30102-0015.txt
pcm,pcm_16bit_16khz,,16bit_16khz_passthrough,5390-30102-0015,0.0,0.0,0.0,0.0,"What had rendered her so unhappy and despairing? Thirdly, the captain's only friend had been a crazy man named Will Thompson. Was he crazy before the captain's death, or had he become crazed at that time?",output\experiments\exp4_baseline_comparison_20260531_seed42\samples\pcm\5390-30102-0015.wav,output\experiments\exp4_baseline_comparison_20260531_seed42\artifacts\asr_transcripts\pcm\16bit_16khz_passthrough\5390-30102-0015.txt
encodec,encodec_24khz,2,bw1.5kbps_n_cb2,5390-30102-0015,0.0,0.0,0.0,0.0,"What had rendered her so unhappy and despairing. Thirdly, the captain's only friend had been a crazy man named Will Thompson. Was he crazy before the captain's death, or had he become crazed at that time?",output\experiments\exp4_baseline_comparison_20260531_seed42\samples\encodec\bw1.5kbps\5390-30102-0015.wav,output\experiments\exp4_baseline_comparison_20260531_seed42\artifacts\asr_transcripts\encodec\bw1.5kbps_n_cb2\5390-30102-0015.txt
encodec,encodec_24khz,4,bw3.0kbps_n_cb4,5390-30102-0015,0.0,0.0,0.0,0.0,"What had rendered her so unhappy and despairing. Thirdly, the captain's only friend had been a crazy man named Will Thompson. Was he crazy before the captain's death, or had he become crazed at that time?",output\experiments\exp4_baseline_comparison_20260531_seed42\samples\encodec\bw3.0kbps\5390-30102-0015.wav,output\experiments\exp4_baseline_comparison_20260531_seed42\artifacts\asr_transcripts\encodec\bw3.0kbps_n_cb4\5390-30102-0015.txt
encodec,encodec_24khz,8,bw6.0kbps_n_cb8,5390-30102-0015,0.0,0.0,0.0,0.0,"What had rendered her so unhappy and despairing. Thirdly, the captain's only friend had been a crazy man named Will Thompson. Was he crazy before the captain's death, or had he become crazed at that time?",output\experiments\exp4_baseline_comparison_20260531_seed42\samples\encodec\bw6.0kbps\5390-30102-0015.wav,output\experiments\exp4_baseline_comparison_20260531_seed42\artifacts\asr_transcripts\encodec\bw6.0kbps_n_cb8\5390-30102-0015.txt
encodec,encodec_24khz,16,bw12.0kbps_n_cb16,5390-30102-0015,0.0,0.0,0.0,0.0,"What had rendered her so unhappy and despairing. Thirdly, the captain's only friend had been a crazy man named Will Thompson. Was he crazy before the captain's death, or had he become crazed at that time?",output\experiments\exp4_baseline_comparison_20260531_seed42\samples\encodec\bw12.0kbps\5390-30102-0015.wav,output\experiments\exp4_baseline_comparison_20260531_seed42\artifacts\asr_transcripts\encodec\bw12.0kbps_n_cb16\5390-30102-0015.txt
dac,dac_16khz,1,n_q_1,5390-30102-0015,0.9444444444444444,0.5736040609137056,0.9444444444444444,0.5736040609137056,"Or the regret that I was so unhappy and just bitter and bitter. The pottets only frame me, You know crazy men are made wrong too, But so crazy if all the pottets lift, Or have you no great fit back to me.",output\experiments\exp4_baseline_comparison_20260531_seed42\samples\dac\n_q1\5390-30102-0015.wav,output\experiments\exp4_baseline_comparison_20260531_seed42\artifacts\asr_transcripts\dac\n_q_1\5390-30102-0015.txt
dac,dac_16khz,2,n_q_2,5390-30102-0015,0.027777777777777776,0.015228426395939087,0.027777777777777776,0.015228426395939087,"What then rendered her so unhappy and despairing? Thirdly, the captain's only friend had been a crazy man named Will Thompson. Was he crazy before the captain's death or had he become crazed at that time?",output\experiments\exp4_baseline_comparison_20260531_seed42\samples\dac\n_q2\5390-30102-0015.wav,output\experiments\exp4_baseline_comparison_20260531_seed42\artifacts\asr_transcripts\dac\n_q_2\5390-30102-0015.txt
dac,dac_16khz,3,n_q_3,5390-30102-0015,0.0,0.0,0.0,0.0,"What had rendered her so unhappy and despairing. Thirdly, the captain's only friend had been a crazy man named Will Thompson. Was he crazy before the captain's death, or had he become crazed at that time?",output\experiments\exp4_baseline_comparison_20260531_seed42\samples\dac\n_q3\5390-30102-0015.wav,output\experiments\exp4_baseline_comparison_20260531_seed42\artifacts\asr_transcripts\dac\n_q_3\5390-30102-0015.txt
dac,dac_16khz,4,n_q_4,5390-30102-0015,0.0,0.0,0.0,0.0,"What had rendered her so unhappy and despairing. Thirdly, the captain's only friend had been a crazy man named Will Thompson. Was he crazy before the captain's death, or had he become crazed at that time?",output\experiments\exp4_baseline_comparison_20260531_seed42\samples\dac\n_q4\5390-30102-0015.wav,output\experiments\exp4_baseline_comparison_20260531_seed42\artifacts\asr_transcripts\dac\n_q_4\5390-30102-0015.txt
dac,dac_16khz,6,n_q_6,5390-30102-0015,0.0,0.0,0.0,0.0,"What had rendered her so unhappy and despairing. Thirdly, the captain's only friend had been a crazy man named Will Thompson. Was he crazy before the captain's death, or had he become crazed at that time?",output\experiments\exp4_baseline_comparison_20260531_seed42\samples\dac\n_q6\5390-30102-0015.wav,output\experiments\exp4_baseline_comparison_20260531_seed42\artifacts\asr_transcripts\dac\n_q_6\5390-30102-0015.txt
dac,dac_16khz,9,n_q_9,5390-30102-0015,0.0,0.0,0.0,0.0,"What had rendered her so unhappy and despairing. Thirdly, the captain's only friend had been a crazy man named Will Thompson. Was he crazy before the captain's death, or had he become crazed at that time?",output\experiments\exp4_baseline_comparison_20260531_seed42\samples\dac\n_q9\5390-30102-0015.wav,output\experiments\exp4_baseline_comparison_20260531_seed42\artifacts\asr_transcripts\dac\n_q_9\5390-30102-0015.txt
dac,dac_16khz,12,n_q_12,5390-30102-0015,0.0,0.0,0.0,0.0,"What had rendered her so unhappy and despairing. Thirdly, the captain's only friend had been a crazy man named Will Thompson. Was he crazy before the captain's death or had he become crazed at that time?",output\experiments\exp4_baseline_comparison_20260531_seed42\samples\dac\n_q12\5390-30102-0015.wav,output\experiments\exp4_baseline_comparison_20260531_seed42\artifacts\asr_transcripts\dac\n_q_12\5390-30102-0015.txt
scit_base,scit_base,1,L=1,4018-103416-0033,0.4,0.21266968325791855,0.3409090909090909,0.18636363636363637,"She was holding out both hands too impitiously. You wouldn't do it, would you? I might have to go, you baited. You wouldn't play me all I had, all I have left to live for. You wouldn't do it, do it when they can. As you're needed here.",output\experiments\exp4_baseline_comparison_20260531_seed42\samples\scit_base\L1\4018-103416-0033.wav,output\experiments\exp4_baseline_comparison_20260531_seed42\artifacts\asr_transcripts\scit_base\L=1\4018-103416-0033.txt
scit_base,scit_base,2,L=2,4018-103416-0033,0.15555555555555556,0.058823529411764705,0.06818181818181818,0.02727272727272727,"She was holding out both hands too impitiously. You wouldn't go, would you? I might have to go, he abated. You wouldn't, Graham. You all I had, all I had left to live for, you wouldn't need to go. It's ridiculous. You're needed here. . . . . . . . . .",output\experiments\exp4_baseline_comparison_20260531_seed42\samples\scit_base\L2\4018-103416-0033.wav,output\experiments\exp4_baseline_comparison_20260531_seed42\artifacts\asr_transcripts\scit_base\L=2\4018-103416-0033.txt
scit_base,scit_base,3,L=3,4018-103416-0033,0.08888888888888889,0.03167420814479638,0.0,0.0,"She was holding out both hands too impitiously. You wouldn't go, would you? I might have to go, he abated. You wouldn't, Graham. You're all I have, all I have left to live for. You wouldn't need to go. It's ridiculous. You're needed here. . . . . . . . . .",output\experiments\exp4_baseline_comparison_20260531_seed42\samples\scit_base\L3\4018-103416-0033.wav,output\experiments\exp4_baseline_comparison_20260531_seed42\artifacts\asr_transcripts\scit_base\L=3\4018-103416-0033.txt
scit_lca,scit_lca,1,L=1,4018-103416-0033,0.5333333333333333,0.3755656108597285,0.5227272727272727,0.36818181818181817,"She was holding out both hands to impitiously. He didn't throw a machine. I might have to know he had made it. It wouldn't bring me all I had, all I had left to know for. It wouldn't be to know which condition he did here.",output\experiments\exp4_baseline_comparison_20260531_seed42\samples\scit_lca\L1\4018-103416-0033.wav,output\experiments\exp4_baseline_comparison_20260531_seed42\artifacts\asr_transcripts\scit_lca\L=1\4018-103416-0033.txt
scit_lca,scit_lca,2,L=2,4018-103416-0033,0.28888888888888886,0.1493212669683258,0.25,0.14545454545454545,"She was holding up both hands too impitiously. He wouldn't go, would you? I might have to go, he evaded. He wouldn't, Graham, you all I have, all I have left to live for. You wouldn't be to go, which would equal as you needed here.",output\experiments\exp4_baseline_comparison_20260531_seed42\samples\scit_lca\L2\4018-103416-0033.wav,output\experiments\exp4_baseline_comparison_20260531_seed42\artifacts\asr_transcripts\scit_lca\L=2\4018-103416-0033.txt
scit_lca,scit_lca,3,L=3,4018-103416-0033,0.06666666666666667,0.03167420814479638,0.13636363636363635,0.05454545454545454,"She was holding out both hands to him pitiously. He wouldn't go, would you? I might have to go, he evaded. He wouldn't, Graham, you're all I have, all I have left to live for. You wouldn't need to go. It's ridiculous. You're needed here.",output\experiments\exp4_baseline_comparison_20260531_seed42\samples\scit_lca\L3\4018-103416-0033.wav,output\experiments\exp4_baseline_comparison_20260531_seed42\artifacts\asr_transcripts\scit_lca\L=3\4018-103416-0033.txt
pcm,pcm_16bit_16khz,,16bit_16khz_passthrough,4018-103416-0033,0.08888888888888889,0.03167420814479638,0.0,0.0,"She was holding out both hands too impitiously. You wouldn't go, would you? I might have to go, he abated. You wouldn't, Graham. You're all I have. All I have left to live for. You wouldn't need to go. It's ridiculous. You're needed here.",output\experiments\exp4_baseline_comparison_20260531_seed42\samples\pcm\4018-103416-0033.wav,output\experiments\exp4_baseline_comparison_20260531_seed42\artifacts\asr_transcripts\pcm\16bit_16khz_passthrough\4018-103416-0033.txt
encodec,encodec_24khz,2,bw1.5kbps_n_cb2,4018-103416-0033,0.35555555555555557,0.2171945701357466,0.29545454545454547,0.2,"She was holding out both hands too impitiously. He wouldn't go, would you? And I'd have to go, he elated. He wouldn't, Graham, you know all I have, all I have left to live for. He wouldn't need to go, which would take you unless you're needed here.",output\experiments\exp4_baseline_comparison_20260531_seed42\samples\encodec\bw1.5kbps\4018-103416-0033.wav,output\experiments\exp4_baseline_comparison_20260531_seed42\artifacts\asr_transcripts\encodec\bw1.5kbps_n_cb2\4018-103416-0033.txt
encodec,encodec_24khz,4,bw3.0kbps_n_cb4,4018-103416-0033,0.13333333333333333,0.04072398190045249,0.09090909090909091,0.03636363636363636,"She was holding out both hands too impitiously. You wouldn't go, would you? I might have to go, he evaded. You wouldn't, Graham. You're all I have. All I have left to live for. You wouldn't need to go. It's ridiculous. You need it here.",output\experiments\exp4_baseline_comparison_20260531_seed42\samples\encodec\bw3.0kbps\4018-103416-0033.wav,output\experiments\exp4_baseline_comparison_20260531_seed42\artifacts\asr_transcripts\encodec\bw3.0kbps_n_cb4\4018-103416-0033.txt
encodec,encodec_24khz,8,bw6.0kbps_n_cb8,4018-103416-0033,0.13333333333333333,0.049773755656108594,0.09090909090909091,0.02727272727272727,"She was holding out both hands to impitiously. You wouldn't go, would you? I might have to go, he abated. You wouldn't, Graham. You're all I have. All I have left to live for. You wouldn't need to go. It's ridiculous. You need it here.",output\experiments\exp4_baseline_comparison_20260531_seed42\samples\encodec\bw6.0kbps\4018-103416-0033.wav,output\experiments\exp4_baseline_comparison_20260531_seed42\artifacts\asr_transcripts\encodec\bw6.0kbps_n_cb8\4018-103416-0033.txt
encodec,encodec_24khz,16,bw12.0kbps_n_cb16,4018-103416-0033,0.06666666666666667,0.027149321266968326,0.022727272727272728,0.004545454545454545,"She was holding out both hands to impitiously. You wouldn't go, would you? I might have to go, he abated. You wouldn't, Graham. You're all I have. All I have left to live for. You wouldn't need to go. It's ridiculous. You're needed here.",output\experiments\exp4_baseline_comparison_20260531_seed42\samples\encodec\bw12.0kbps\4018-103416-0033.wav,output\experiments\exp4_baseline_comparison_20260531_seed42\artifacts\asr_transcripts\encodec\bw12.0kbps_n_cb16\4018-103416-0033.txt
dac,dac_16khz,1,n_q_1,4018-103416-0033,0.9777777777777777,0.6334841628959276,1.0,0.6363636363636364,"She was all I got, both late and student, but he was late. And what did I work in? Oh my gosh, you know, really? You better have new idea, and we'll not ever have to work for it. We wouldn't be into now, it's what it is unless you may be in here.",output\experiments\exp4_baseline_comparison_20260531_seed42\samples\dac\n_q1\4018-103416-0033.wav,output\experiments\exp4_baseline_comparison_20260531_seed42\artifacts\asr_transcripts\dac\n_q_1\4018-103416-0033.txt
dac,dac_16khz,2,n_q_2,4018-103416-0033,0.3111111111111111,0.17194570135746606,0.3409090909090909,0.17727272727272728,"She was holding up both hands to it pretty easily. He wouldn't go with you. I might have to go here, baby. You wouldn't, Graham, you all I had, all I have left to learn for. You wouldn't need to go. It's ridiculous you need it here.",output\experiments\exp4_baseline_comparison_20260531_seed42\samples\dac\n_q2\4018-103416-0033.wav,output\experiments\exp4_baseline_comparison_20260531_seed42\artifacts\asr_transcripts\dac\n_q_2\4018-103416-0033.txt
dac,dac_16khz,3,n_q_3,4018-103416-0033,0.13333333333333333,0.06787330316742081,0.18181818181818182,0.08636363636363636,"She was holding out both hands to it pretty easily. You wouldn't go, would you? I might have to go, he evaded. You wouldn't, Graham. You're all I have, all I have left to live for. You wouldn't need to go. It's ridiculous. You need it here. . . . . . . . . .",output\experiments\exp4_baseline_comparison_20260531_seed42\samples\dac\n_q3\4018-103416-0033.wav,output\experiments\exp4_baseline_comparison_20260531_seed42\artifacts\asr_transcripts\dac\n_q_3\4018-103416-0033.txt
dac,dac_16khz,4,n_q_4,4018-103416-0033,0.15555555555555556,0.058823529411764705,0.20454545454545456,0.07272727272727272,"She was holding up both hands to him pitiously. You wouldn't go, would you? I might have to go, he made it. You wouldn't, Graham. You're all I have, all I have left to live for. You wouldn't need to go. It's ridiculous. You need it here.",output\experiments\exp4_baseline_comparison_20260531_seed42\samples\dac\n_q4\4018-103416-0033.wav,output\experiments\exp4_baseline_comparison_20260531_seed42\artifacts\asr_transcripts\dac\n_q_4\4018-103416-0033.txt
dac,dac_16khz,6,n_q_6,4018-103416-0033,0.13333333333333333,0.058823529411764705,0.1590909090909091,0.05454545454545454,"She was holding out both hands to him piddiously. You wouldn't go, would you? I might have to go, he abated. You wouldn't, Graham. You all I have, all I have left to live for. You wouldn't need to go. It's ridiculous. You need it here.",output\experiments\exp4_baseline_comparison_20260531_seed42\samples\dac\n_q6\4018-103416-0033.wav,output\experiments\exp4_baseline_comparison_20260531_seed42\artifacts\asr_transcripts\dac\n_q_6\4018-103416-0033.txt
dac,dac_16khz,9,n_q_9,4018-103416-0033,0.06666666666666667,0.027149321266968326,0.022727272727272728,0.004545454545454545,"She was holding out both hands to impitiously. You wouldn't go, would you? I might have to go, he abated. You wouldn't, Graham. You're all I have. All I have left to live for. You wouldn't need to go. It's ridiculous. You're needed here.",output\experiments\exp4_baseline_comparison_20260531_seed42\samples\dac\n_q9\4018-103416-0033.wav,output\experiments\exp4_baseline_comparison_20260531_seed42\artifacts\asr_transcripts\dac\n_q_9\4018-103416-0033.txt
dac,dac_16khz,12,n_q_12,4018-103416-0033,0.044444444444444446,0.013574660633484163,0.045454545454545456,0.01818181818181818,"She was holding out both hands to impitiously. You wouldn't go, would you? I might have to go, he evaded. You wouldn't, Graham. You're all I have. All I have left to live for. You wouldn't need to go. It's ridiculous. You're needed here.",output\experiments\exp4_baseline_comparison_20260531_seed42\samples\dac\n_q12\4018-103416-0033.wav,output\experiments\exp4_baseline_comparison_20260531_seed42\artifacts\asr_transcripts\dac\n_q_12\4018-103416-0033.txt
