method,model,L,codec_setting,sample_id,wer_vs_gt,cer_vs_gt,wer_vs_original_whisper,cer_vs_original_whisper,hypothesis_text,decoded_path,transcript_path
base,base,3,clean,5390-30102-0015,0.027777777777777776,0.015228426395939087,0.027777777777777776,0.015228426395939087,"What had rendered her so unhappy and despairing. Thirdly, the captain's only friend had been a crazy man named Will Tonson. Was he crazy before the captain's death, or had he become crazed at that time?",output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\base\clean\L3\5390-30102-0015.wav,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\artifacts\asr_transcripts\base\clean\5390-30102-0015.txt
lca,lca,3,clean,5390-30102-0015,0.0,0.0,0.0,0.0,"What had rendered her so unhappy and despairing? Thirdly, the captain's only friend had been a crazy man named Will Thompson. Was he crazy before the captain's death, or had he become crazed at that time?",output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\lca\clean\L3\5390-30102-0015.wav,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\artifacts\asr_transcripts\lca\clean\5390-30102-0015.txt
base,base,1,clean,4018-103416-0033,0.4,0.21266968325791855,0.3409090909090909,0.18636363636363637,"She was holding out both hands too impitiously. You wouldn't do it, would you? I might have to go, you baited. You wouldn't play me all I had, all I have left to live for. You wouldn't do it, do it when they can. As you're needed here.",output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\base\clean\L1\4018-103416-0033.wav,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\artifacts\asr_transcripts\base\clean\4018-103416-0033.txt
lca,lca,1,clean,4018-103416-0033,0.8,0.5203619909502263,0.7727272727272727,0.5045454545454545,"She was holding out both hands too impitiously. They let me tell you what you... that I'd have to know, you know, my baby. Then let me carry on you, and I'd go, I'd have left to live for. Then let me be a teardot, which for decades was she needed here.",output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\lca\clean\L1\4018-103416-0033.wav,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\artifacts\asr_transcripts\lca\clean\4018-103416-0033.txt
base,base,2,clean,4018-103416-0033,0.15555555555555556,0.058823529411764705,0.06818181818181818,0.02727272727272727,"She was holding out both hands too impitiously. You wouldn't go, would you? I might have to go, he abated. You wouldn't, Graham. You all I had, all I had left to live for, you wouldn't need to go. It's ridiculous. You're needed here. . . . . . . . . .",output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\base\clean\L2\4018-103416-0033.wav,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\artifacts\asr_transcripts\base\clean\4018-103416-0033.txt
lca,lca,2,clean,4018-103416-0033,0.37777777777777777,0.2081447963800905,0.36363636363636365,0.19545454545454546,"She was holding up both hands too and pitiously. You wouldn't go, would you? And I'd have to know, he awaited. You wouldn't grand, you all I had, though I had left to live for. You wouldn't be to go as ridiculous as you needed here.",output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\lca\clean\L2\4018-103416-0033.wav,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\artifacts\asr_transcripts\lca\clean\4018-103416-0033.txt
base,base,3,clean,4018-103416-0033,0.08888888888888889,0.03167420814479638,0.0,0.0,"She was holding out both hands too impitiously. You wouldn't go, would you? I might have to go, he abated. You wouldn't, Graham. You're all I have, all I have left to live for. You wouldn't need to go. It's ridiculous. You're needed here.",output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\base\clean\L3\4018-103416-0033.wav,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\artifacts\asr_transcripts\base\clean\4018-103416-0033.txt
lca,lca,3,clean,4018-103416-0033,0.28888888888888886,0.14027149321266968,0.20454545454545456,0.10909090909090909,"She was holding up both hands too impitiously. You wouldn't go, would you? I might have to go, he abated. You wouldn't, Grand, you all I had, all I had left to live for. You wouldn't need to go, which ridiculously needed here. you",output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\lca\clean\L3\4018-103416-0033.wav,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\artifacts\asr_transcripts\lca\clean\4018-103416-0033.txt
base,base,1,clean,1737-148989-0006,0.5161290322580645,0.25555555555555554,0.5161290322580645,0.25555555555555554,"Fans kept the table busy with this varying message, not saying loving letters from white sick and tongue who asked the shifting agents for namies. Even busy child wrote them unusual words.",output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\base\clean\L1\1737-148989-0006.wav,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\artifacts\asr_transcripts\base\clean\1737-148989-0006.txt
lca,lca,1,clean,1737-148989-0006,0.7419354838709677,0.4722222222222222,0.7419354838709677,0.4722222222222222,"founds that the people busy with the staring messages, that sound bloody matters for light-safe, and to follow rest should the need for use. You did busy Jack Loeberthon with unusual work.",output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\lca\clean\L1\1737-148989-0006.wav,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\artifacts\asr_transcripts\lca\clean\1737-148989-0006.txt
base,base,2,clean,1737-148989-0006,0.25806451612903225,0.1111111111111111,0.25806451612903225,0.1111111111111111,"found strict the table busy with his varying messages, Matt sent loving letters from Leipzig, and Tom harassed the shipping agents for news. He'd been busy Jackworth them with unusual warmth.",output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\base\clean\L2\1737-148989-0006.wav,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\artifacts\asr_transcripts\base\clean\1737-148989-0006.txt
lca,lca,2,clean,1737-148989-0006,0.45161290322580644,0.2388888888888889,0.45161290322580644,0.2388888888888889,"Thawn's kept the table busy with his staring messages, not saying loving matters for life safe, and Thawn harassed the shipping agents for news. He did busy Jack rep them with unusual blocks.",output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\lca\clean\L2\1737-148989-0006.wav,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\artifacts\asr_transcripts\lca\clean\1737-148989-0006.txt
base,base,3,clean,1737-148989-0006,0.25806451612903225,0.11666666666666667,0.25806451612903225,0.11666666666666667,"Fraunz kept the cable busy with his varying messages, Nat sent loving writers from Glite sick, and Tom harassed the shipping agents for news. He'd been busy Jackworth them with unusual warmth.",output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\base\clean\L3\1737-148989-0006.wav,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\artifacts\asr_transcripts\base\clean\1737-148989-0006.txt
lca,lca,3,clean,1737-148989-0006,0.3225806451612903,0.18333333333333332,0.3225806451612903,0.18333333333333332,"Thorns kept the table dizzy with his varying messages, not sound loving letters for life safe, and tongue harassed the shipping agents for news. Even busy Jack wrote them with unusual love.",output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\lca\clean\L3\1737-148989-0006.wav,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\artifacts\asr_transcripts\lca\clean\1737-148989-0006.txt
base,base,1,clean,1455-138263-0040,0.36585365853658536,0.23555555555555555,0.3902439024390244,0.26851851851851855,"Let's get cold quickly. Because West Trammable, then the murdering ocean of the moon upon her axis was not equal to a revelation of her quality, which presents each territory of her gift during fifteen days to the action of the Solar West.",output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\base\clean\L1\1455-138263-0040.wav,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\artifacts\asr_transcripts\base\clean\1455-138263-0040.txt
lca,lca,1,clean,1455-138263-0040,0.6585365853658537,0.4266666666666667,0.6585365853658537,0.4212962962962963,"That's the culprit, Lee. The cast was probably very rural in action, then applied her axis was not equal to her revolution. The quality, which presents each product from disk, turned 15 to disk, and the attention of the sumo is...",output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\lca\clean\L1\1455-138263-0040.wav,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\artifacts\asr_transcripts\lca\clean\1455-138263-0040.txt
base,base,2,clean,1455-138263-0040,0.12195121951219512,0.07111111111111111,0.14634146341463414,0.09259259259259259,"V. McColl quickly. Because most probably, then the rotary motion of the moon upon her axis was not equal to a revolution, an equality which presents each part of her disk during fifteen days to the action of the solar waste.",output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\base\clean\L2\1455-138263-0040.wav,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\artifacts\asr_transcripts\base\clean\1455-138263-0040.txt
lca,lca,2,clean,1455-138263-0040,0.24390243902439024,0.15555555555555556,0.1951219512195122,0.12037037037037036,"As to call quickly. Because most probably, then the rotary notion of the minute upon her axis was not equal to her revolution, an apology which possessed each part of her disk during 15 days to the action of the Solar Res.",output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\lca\clean\L2\1455-138263-0040.wav,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\artifacts\asr_transcripts\lca\clean\1455-138263-0040.txt
base,base,3,clean,1455-138263-0040,0.12195121951219512,0.05333333333333334,0.12195121951219512,0.06944444444444445,"Yes, Nicole, quickly. Because most probably, then the rotary motion of the moon upon her axis was not equal to her revolution, an equality which presents each part of her disk during fifteen days to the action of the solarized.",output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\base\clean\L3\1455-138263-0040.wav,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\artifacts\asr_transcripts\base\clean\1455-138263-0040.txt
lca,lca,3,clean,1455-138263-0040,0.12195121951219512,0.07555555555555556,0.07317073170731707,0.027777777777777776,"That's Nicole quickly. Because most probably, then the rotary motion of the moon upon her axis was not equal to her revolution, an equality which presents each part of her disk during 15 days to the action of the solar res.",output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\lca\clean\L3\1455-138263-0040.wav,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\artifacts\asr_transcripts\lca\clean\1455-138263-0040.txt
base,base,1,clean,311-124404-0119,0.7777777777777778,0.42424242424242425,0.7777777777777778,0.42424242424242425,The dourish mode that is more powerful in leading to people who I had to stray from the street by the searching.,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\base\clean\L1\311-124404-0119.wav,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\artifacts\asr_transcripts\base\clean\311-124404-0119.txt
lca,lca,1,clean,311-124404-0119,0.7222222222222222,0.5151515151515151,0.7222222222222222,0.5151515151515151,that is world powerful in leading the key client astray astray passedIES,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\lca\clean\L1\311-124404-0119.wav,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\artifacts\asr_transcripts\lca\clean\311-124404-0119.txt
base,base,2,clean,311-124404-0119,0.4444444444444444,0.1919191919191919,0.4444444444444444,0.1919191919191919,There is no that is more powerful in leading people why it's a stray from a street path of virtue.,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\base\clean\L2\311-124404-0119.wav,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\artifacts\asr_transcripts\base\clean\311-124404-0119.txt
lca,lca,2,clean,311-124404-0119,0.2777777777777778,0.15151515151515152,0.2777777777777778,0.15151515151515152,"There is no, that is more powerful in leading the people minds astray in a straight path of virtue",output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\lca\clean\L2\311-124404-0119.wav,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\artifacts\asr_transcripts\lca\clean\311-124404-0119.txt
base,base,3,clean,311-124404-0119,0.16666666666666666,0.09090909090909091,0.16666666666666666,0.09090909090909091,There is no that is more powerful in leading to feeble minds astray from the street path of virtue.,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\base\clean\L3\311-124404-0119.wav,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\artifacts\asr_transcripts\base\clean\311-124404-0119.txt
lca,lca,3,clean,311-124404-0119,0.2222222222222222,0.13131313131313133,0.2222222222222222,0.13131313131313133,There is no that is more powerful in leading the feeble minds astray in a straight path of virtue.,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\lca\clean\L3\311-124404-0119.wav,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\artifacts\asr_transcripts\lca\clean\311-124404-0119.txt
base,base,1,clean,4680-16026-0019,0.42857142857142855,0.13793103448275862,0.125,0.06451612903225806,"You know well, then I am no fool.",output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\base\clean\L1\4680-16026-0019.wav,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\artifacts\asr_transcripts\base\clean\4680-16026-0019.txt
lca,lca,1,clean,4680-16026-0019,0.5714285714285714,0.1724137931034483,0.25,0.0967741935483871,You know well that I am not full.,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\lca\clean\L1\4680-16026-0019.wav,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\artifacts\asr_transcripts\lca\clean\4680-16026-0019.txt
base,base,2,clean,4680-16026-0019,0.2857142857142857,0.06896551724137931,0.0,0.0,You know well that I am no fool,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\base\clean\L2\4680-16026-0019.wav,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\artifacts\asr_transcripts\base\clean\4680-16026-0019.txt
lca,lca,2,clean,4680-16026-0019,0.42857142857142855,0.13793103448275862,0.125,0.06451612903225806,"You know well, then I am no fool",output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\lca\clean\L2\4680-16026-0019.wav,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\artifacts\asr_transcripts\lca\clean\4680-16026-0019.txt
base,base,3,clean,4680-16026-0019,0.2857142857142857,0.06896551724137931,0.0,0.0,You know well that I am no fool,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\base\clean\L3\4680-16026-0019.wav,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\artifacts\asr_transcripts\base\clean\4680-16026-0019.txt
lca,lca,3,clean,4680-16026-0019,0.2857142857142857,0.06896551724137931,0.0,0.0,You know well that I am no fool,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\lca\clean\L3\4680-16026-0019.wav,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\artifacts\asr_transcripts\lca\clean\4680-16026-0019.txt
base,base,1,clean,8098-278278-0035,0.46153846153846156,0.2561576354679803,0.4146341463414634,0.22596153846153846,"Then the first place I would be wore the hairst breath escaped to see one wild. I've only seen bears and surfices, were traveling, changing to eutariums. Then the second place, back in the morning, had plenty of medals for sprinting.",output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\base\clean\L1\8098-278278-0035.wav,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\artifacts\asr_transcripts\base\clean\8098-278278-0035.txt
lca,lca,1,clean,8098-278278-0035,0.7692307692307693,0.4876847290640394,0.7560975609756098,0.47115384615384615,"The first place it would be life I'd never waste worth a state to see in my life. I'd only seen bears and seepuses, though travelling, changing the terryds. Then set a place, but in love, the terry and night was frustrating.",output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\lca\clean\L1\8098-278278-0035.wav,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\artifacts\asr_transcripts\lca\clean\8098-278278-0035.txt
base,base,2,clean,8098-278278-0035,0.10256410256410256,0.04433497536945813,0.07317073170731707,0.028846153846153848,"In the first place it would be worth a hairless breath escape to see one wild. I've only seen bears and circuses, or traveling, chained to Italians. In the second place I can run. I've plenty of metals for sprinting.",output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\base\clean\L2\8098-278278-0035.wav,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\artifacts\asr_transcripts\base\clean\8098-278278-0035.txt
lca,lca,2,clean,8098-278278-0035,0.2564102564102564,0.15270935960591134,0.1951219512195122,0.12980769230769232,"In first place it would be worth a hair's worth escape to see one wild. I've only seen bears and surfices, who traveling, chained to Italians. In the second place let him run. There's plenty of metals for sprinting.",output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\lca\clean\L2\8098-278278-0035.wav,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\artifacts\asr_transcripts\lca\clean\8098-278278-0035.txt
base,base,3,clean,8098-278278-0035,0.1282051282051282,0.06896551724137931,0.07317073170731707,0.038461538461538464,"In the first place it would be worth a hairless breath escape to see one wild. I've only seen bears and circuses, or traveling, chained to Italians. In the second place I can run. There's plenty of metals for sprinting.",output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\base\clean\L3\8098-278278-0035.wav,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\artifacts\asr_transcripts\base\clean\8098-278278-0035.txt
lca,lca,3,clean,8098-278278-0035,0.2564102564102564,0.15763546798029557,0.1951219512195122,0.125,"In first place it would be worth a hairless breath escape to see one wild. I've only seen bears and surfaces, or traveling, chained to Italians. In the second place, let him run. There's plenty of metals for spanking.",output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\lca\clean\L3\8098-278278-0035.wav,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\artifacts\asr_transcripts\lca\clean\8098-278278-0035.txt
